Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
NASI,--U-2130000000D222------------,396,0,22 Feb 2022,412,372,410,14,23586600,9467595000,3590
NATO,--U-2105000000E512------------,745,0,22 Feb 2022,750,735,740,-5,202095400,149690932000,2443
NELY,--U-2130000000K211------------,312,0,22 Feb 2022,318,308,314,2,1201300,375424800,501
NETV,--U-2100000000E612------------,605,0,22 Feb 2022,755,565,615,10,130437800,78034115500,21107
NFCX,--U-2135000000I111------------,7325,0,22 Feb 2022,7550,7125,7325,0,19800,144072500,53
NICK,--U-2100000000G512------------,730,0,22 Feb 2022,750,680,725,-5,128700,91435000,104
NICL,--U-2130000000B146------------,78,0,22 Feb 2022,89,78,86,8,466392200,39524244900,17937
NIKL,--U-1135000000B146------------,925,0,22 Feb 2022,935,910,925,0,202300,186544500,151
NIPS,--U-2100000000E111---L---Y----,282,0,22 Feb 2022,0,0,282,0,0,0,0
NIRO,--U-2135000000H111------------,147,0,22 Feb 2022,147,147,147,0,100,14700,1
NISP,--M-1155000000G111------------,660,0,22 Feb 2022,665,650,660,0,1022000,671500000,263
NOBU,--M-1105000000G111------------,745,0,22 Feb 2022,745,700,710,-35,2355400,1691522000,568
NPGF,--M-1130000000B112------------,84,0,22 Feb 2022,87,84,85,1,14895700,1265758400,1091
NRCA,--U-1130000000J211------------,282,0,22 Feb 2022,282,274,276,-6,490800,135608600,227
NTBK,--U-2130000000C141------------,100,0,22 Feb 2022,105,96,100,0,142280600,14380310100,9375
NUSA,--U-2100000000E512---L---Y----,50,0,22 Feb 2022,0,0,50,0,0,0,0
NZIA,--U-1130000000H111------------,138,0,22 Feb 2022,144,133,144,6,67200,9228700,75
OASA,--U-2100000000J321------------,590,0,22 Feb 2022,595,570,580,-10,1165700,675717500,364
OBMD,--U-2130000000B113------------,119,0,22 Feb 2022,120,117,119,0,1977200,233594500,185
OCAP,--U-2100000000G511-E--S------X,159,0,22 Feb 2022,0,0,159,0,0,0,0
OILS,--U-2130000000D232------------,254,0,22 Feb 2022,256,244,246,-8,3178000,790160000,708
OKAS,--U-2100000000B111-E----------,72,0,22 Feb 2022,74,70,70,-2,21335400,1537001500,1367
OMRE,--U-2135000000H111------------,810,0,22 Feb 2022,815,760,760,-50,200,157500,2
OPMS,--U-2130000000B144------------,126,0,22 Feb 2022,130,125,127,1,3643600,462719400,559
PADI,--U-1100000000G312------------,50,0,22 Feb 2022,50,50,50,0,4500,225000,4
PALM,--U-2135000000D232------------,705,0,22 Feb 2022,720,665,675,-30,10605600,7275188500,2873
