No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
148,BYAN,Bayan Resources Tbk.,--U-113500000021--------------,13600,0,10 Nov 2020,0,13800,13750,13750,150,1500,20650000,4,237.1,13800,900,13750,100,3333333500,3333333500,3333333500,0,0,0,0,0
149,CAKK,Cahayaputra Asa Keramik Tbk.,--U-213000000032--------------,54,0,10 Nov 2020,0,55,51,52,-2,2986700,155938100,251,31.0,53,264000,52,159800,1203300219,1203300219,1203300219,0,0,0,0,0
150,CAMP,Campina Ice Cream Industry Tbk.,--U-113500000051--------------,260,0,10 Nov 2020,0,262,252,260,0,591800,154270400,192,78.8,262,56400,260,120900,5885000000,5885000000,5885000000,0,0,0,0,0
151,CANI,Capitol Nusantara Indonesia Tbk.,--U-213000000074---E----------,106,0,10 Nov 2020,0,111,106,111,5,500,53500,2,55.5,108,100,102,9800,833440000,833440000,833440000,0,0,0,0,0
152,CARE,Metro Healthcare Indonesia Tbk.,--U-213500000096--------------,362,0,10 Nov 2020,0,364,358,358,-4,207340100,74954264200,1785,347.6,360,25500,358,313600,33250000000,33250000000,33250000000,2000,0,2000000,728000000,1
153,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,--M-110000000091--------------,50,0,10 Nov 2020,0,50,50,50,0,5500,275000,6,28.6,50,65268400,0,0,15000000000,15000000000,15000000000,0,0,0,0,0
154,CASA,Capital Financial Indonesia Tbk.,--U-210500000089--------------,390,0,10 Nov 2020,0,394,388,394,4,18582400,7273884400,133,719.8,394,24600,392,22000,54476253493,54476253493,54476253493,9800,0,0,0,0
155,CASH,Cashlez Worldwide Indonesia Tbk.,--U-300000000097--------------,535,0,10 Nov 2020,0,540,530,535,0,949000,505081500,190,152.9,535,131000,530,11600,1430920302,1430920302,0,0,0,0,0,0
156,CASS,Cardig Aero Services Tbk.,--U-213000000072--------------,200,0,10 Nov 2020,0,206,200,206,6,2953000,599850000,228,51.5,208,1196500,206,376400,2086950000,2086950000,2086950000,0,1107600,0,0,0
157,CBMF,Cahaya Bintang Medan Tbk.,--U-213000000055--------------,500,0,10 Nov 2020,0,550,468,496,-4,2151000,1075484200,170,310.0,480,76400,0,0,1875000000,1875000000,1875000000,0,0,0,0,0
158,CCSI,Communication Cable Systems Indonesia Tbk.,--M-213000000045--------------,228,0,10 Nov 2020,0,238,224,228,0,1035600,235000400,122,91.2,228,59800,226,2000,1000000000,199188000,1000000000,178600,0,0,0,0
159,CEKA,Wilmar Cahaya Indonesia Tbk.,--U-113500000051--------------,1805,0,10 Nov 2020,0,1830,1790,1800,-5,44200,79549500,79,371.9,1805,6900,1800,300,595000000,595000000,595000000,0,0,0,0,0
160,CENT,Centratama Telekomunikasi Indonesia Tbk.,--M-213500000075--------------,129,0,10 Nov 2020,0,134,128,129,0,6686700,878753700,528,825.6,130,62600,129,36800,31183464900,31183464900,31183464900,0,16800,0,0,0
161,CFIN,Clipan Finance Indonesia Tbk.,--U-110000000082--------------,189,0,10 Nov 2020,0,199,188,190,1,4384400,836923600,254,14.9,191,20000,190,3591100,3984520457,3984520457,3984520457,0,0,0,0,0
